,amount,branch_type,category,da_id,hospital_area,hospital_code,hospital_name,indicator,total,Special_Type,SPECIAL_ID,overall_district,overall,year
0,4412,1,醫學中心            ,114,新北市板橋區,1131010011,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,24.57%,17954,1,0,0.2483,0.3040,2011
1,2775,1,區域醫院            ,114,新北市新店區,1131050515,佛教慈濟醫療財團法人台北慈濟醫院,25.22%,10999,2,0,0.2483,0.3040,2011
2,2941,1,區域醫院            ,114,新北市中和區,1331040513,衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,36.34%,8091,2,0,0.2483,0.3040,2011
3,2959,1,區域醫院            ,114,新北市新店區,1231050017,天主教耕莘醫療財團法人耕莘醫院,39.52%,7486,2,0,0.2483,0.3040,2011
4,1346,1,區域醫院            ,114,新北市三峽區,1131090019,行天宮醫療志業醫療財團法人恩主公醫院,18.66%,7212,2,0,0.2483,0.3040,2011
5,1363,1,區域醫院            ,114,新北市汐止區,1131110516,國泰醫療財團法人汐止國泰綜合醫院,28.19%,4835,2,0,0.2483,0.3040,2011
6,1270,1,地區醫院            ,114,新北市永和區,1231030015,天主教耕莘醫療財團法人永和耕莘醫院,33.98%,3737,3,0,0.2483,0.3040,2011
7,226,1,地區醫院            ,114,新北市樹林區,1531071030,仁愛醫院,16.36%,1381,3,0,0.2483,0.3040,2011
8,446,1,地區醫院            ,114,新北市三重區,1531020122,宏仁醫院,38.85%,1148,3,0,0.2483,0.3040,2011
9,142,1,地區醫院            ,114,新北市板橋區,1531010279,板橋中興醫院,19.80%,717,3,0,0.2483,0.3040,2011
10,65,1,地區醫院            ,114,新北市新店區,1531050077,同仁醫院,16.41%,396,3,0,0.2483,0.3040,2011
11,48,1,地區醫院            ,114,新北市板橋區,1531010082,板新醫院,13.40%,358,3,0,0.2483,0.3040,2011
12,45,1,地區醫院            ,114,新北市瑞芳區,1531120038,瑞芳礦工醫院,13%,346,3,0,0.2483,0.3040,2011
13,37,1,地區醫院            ,114,新北市土城區,1531130052,廣川醫院,11.89%,311,3,0,0.2483,0.3040,2011
14,55,1,地區醫院            ,114,新北市中和區,1531040259,中祥醫院,19.43%,283,3,0,0.2483,0.3040,2011
15,24,1,地區醫院            ,114,新北市板橋區,1531010108,蕭中正醫院,11.59%,207,3,0,0.2483,0.3040,2011
16,22,1,地區醫院            ,114,新北市土城區,1531131139,元復醫院,11.82%,186,3,0,0.2483,0.3040,2011
17,23,1,地區醫院            ,114,新北市板橋區,1531011310,板橋國泰醫院,12.77%,180,3,0,0.2483,0.3040,2011
18,16,1,地區醫院            ,114,新北市新莊區,1531060046,大順醫院,12.90%,124,3,0,0.2483,0.3040,2011
